stop,stop_lat,stop_lng,stop_distance_km,road_type,institution_id,city
Maharani Peta Center,17.737409,83.287416,4.518,Main Road,AP_INST_GITAM_University,Visakhapatnam
Dabagardens Main Road,17.742477,83.266635,6.762,Highway,AP_INST_GITAM_University,Visakhapatnam
Jagadamba Junction Circle,17.717121,83.257713,7.91,Village Road,AP_INST_GITAM_University,Visakhapatnam
Seethammadhara Chowk,17.73159,83.229156,10.687,Main Road,AP_INST_GITAM_University,Visakhapatnam
Asilmetta Cross Roads 60,17.714409,83.176,16.471,Main Road,AP_INST_GITAM_University,Visakhapatnam
Gopalapatnam New Town,17.742729,83.139392,20.205,Village Road,AP_INST_GITAM_University,Visakhapatnam
Tatichetlapalem Main Road,17.763652,83.036346,31.261,Village Road,AP_INST_GITAM_University,Visakhapatnam
Pendurthi Circle,17.741248,83.321743,1.117,Main Road,AP_INST_GITAM_University,Visakhapatnam
Bhpv Colony Temple Road,17.74912,83.315633,2.186,Main Road,AP_INST_GITAM_University,Visakhapatnam
Ukkunagaram Temple Road,17.760421,83.310555,3.497,Highway,AP_INST_GITAM_University,Visakhapatnam
Marripalem Terminus,17.763447,83.281642,6.019,Main Road,AP_INST_GITAM_University,Visakhapatnam
Gajuwaka Gate 0,17.731154,83.300952,0.896,Village Road,AP_INST_Andhra_University,Visakhapatnam
NAD Junction Circle,17.747087,83.301913,2.668,Highway,AP_INST_Andhra_University,Visakhapatnam
Kommadi Terminus,17.764269,83.303469,4.584,Village Road,AP_INST_Andhra_University,Visakhapatnam
Bheemunipatnam Bus Stop,17.781742,83.306659,6.545,Main Road,AP_INST_Andhra_University,Visakhapatnam
Rushikonda Temple Road,17.79724,83.317273,8.416,Main Road,AP_INST_Andhra_University,Visakhapatnam
Beach Road Bus Stop,17.818722,83.294528,10.657,Village Road,AP_INST_Andhra_University,Visakhapatnam
Lawsons Bay Layout,17.865442,83.32013,15.953,Main Road,AP_INST_Andhra_University,Visakhapatnam
MVP Colony Junction,17.939274,83.252113,24.595,Main Road,AP_INST_Andhra_University,Visakhapatnam
Dwaraka Nagar Main Road,17.996099,83.284433,30.409,Highway,AP_INST_Andhra_University,Visakhapatnam
Ram Nagar Ring Road,17.728477,83.307145,0.861,Highway,AP_INST_Andhra_University,Visakhapatnam
Siripuram Bank Colony,17.737934,83.317163,2.354,Main Road,AP_INST_Andhra_University,Visakhapatnam
Murali Nagar Bypass,17.742628,83.326977,3.48,Highway,AP_INST_Andhra_University,Visakhapatnam
Steel Plant Hospital Road,17.764035,83.347463,6.68,Highway,AP_INST_Andhra_University,Visakhapatnam
Vizag Port Bank Colony,17.762635,83.356775,7.338,Highway,AP_INST_Andhra_University,Visakhapatnam
Maddilapalem Old Town,17.793694,83.371067,10.78,Main Road,AP_INST_Andhra_University,Visakhapatnam
Waltair Hospital Road,17.824893,83.393405,14.941,Highway,AP_INST_Andhra_University,Visakhapatnam
Maharani Peta Main Road,17.854604,83.441316,20.823,Main Road,AP_INST_Andhra_University,Visakhapatnam
Dabagardens Bypass,17.863989,83.506565,26.791,Village Road,AP_INST_Andhra_University,Visakhapatnam
Jagadamba Junction Gate,17.723191,83.311614,1.092,Main Road,AP_INST_Andhra_University,Visakhapatnam
Seethammadhara Center,17.721209,83.327466,2.779,Main Road,AP_INST_Andhra_University,Visakhapatnam
Asilmetta Bus Stop,17.728126,83.340237,4.162,Village Road,AP_INST_Andhra_University,Visakhapatnam
Gopalapatnam Flyover,17.716145,83.35792,6.047,Main Road,AP_INST_Andhra_University,Visakhapatnam
Tatichetlapalem Depot,17.703787,83.377739,8.377,Village Road,AP_INST_Andhra_University,Visakhapatnam
Pendurthi Junction,17.715074,83.414006,11.971,Highway,AP_INST_Andhra_University,Visakhapatnam
Bhpv Colony Bank Colony,17.759336,83.448413,16.093,Village Road,AP_INST_Andhra_University,Visakhapatnam
Ukkunagaram Terminus,17.756624,83.50337,21.723,Highway,AP_INST_Andhra_University,Visakhapatnam
Marripalem Colony,17.709104,83.546041,25.97,Main Road,AP_INST_Andhra_University,Visakhapatnam
Bheemili Mandal Office,17.715977,83.308544,1.103,Village Road,AP_INST_Andhra_University,Visakhapatnam
Anakapalli Bus Stand,17.70701,83.319378,2.621,Main Road,AP_INST_Andhra_University,Visakhapatnam
Yelamanchili Gate,17.699561,83.321941,3.41,Main Road,AP_INST_Andhra_University,Visakhapatnam
Narsipatnam Temple Road,17.680787,83.346232,6.693,Main Road,AP_INST_Andhra_University,Visakhapatnam
Paderu Center,17.686881,83.361619,7.553,Highway,AP_INST_Andhra_University,Visakhapatnam
Araku Station,17.639163,83.369874,11.828,Main Road,AP_INST_Andhra_University,Visakhapatnam
Chodavaram School Road,17.64585,83.421358,15.348,Main Road,AP_INST_Andhra_University,Visakhapatnam
Tuni Depot,17.578912,83.474773,24.391,Highway,AP_INST_Andhra_University,Visakhapatnam
Prabhavathi Hills Chowk,17.526669,83.456179,27.322,Highway,AP_INST_Andhra_University,Visakhapatnam
Simhachalam Hospital Road,17.713716,83.301349,1.043,Main Road,AP_INST_Andhra_University,Visakhapatnam
Kailasagiri Temple Road,17.699798,83.306882,2.658,Highway,AP_INST_Andhra_University,Visakhapatnam
Bheemunipatanam Temple Road 38,17.68831,83.304254,3.881,Highway,AP_INST_Andhra_University,Visakhapatnam
Rambilli Gate,17.676702,83.314232,5.338,Highway,AP_INST_Andhra_University,Visakhapatnam
Gajuwaka Station,17.638666,83.320907,9.616,Main Road,AP_INST_Andhra_University,Visakhapatnam
NAD Junction Layout,17.634174,83.277004,10.218,Main Road,AP_INST_Andhra_University,Visakhapatnam
Kommadi Colony,17.590181,83.30884,14.801,Highway,AP_INST_Andhra_University,Visakhapatnam
Bheemunipatnam Mandal Office,17.50622,83.360307,24.914,Highway,AP_INST_Andhra_University,Visakhapatnam
Rushikonda Bank Colony,17.467361,83.29182,28.455,Main Road,AP_INST_Andhra_University,Visakhapatnam
Beach Road Circle,17.717875,83.29382,0.982,Highway,AP_INST_Andhra_University,Visakhapatnam
Lawsons Bay Circle,17.709429,83.28302,2.462,Main Road,AP_INST_Andhra_University,Visakhapatnam
MVP Colony Flyover 47,17.704001,83.268553,4.067,Highway,AP_INST_Andhra_University,Visakhapatnam
Dwaraka Nagar School Road,17.683713,83.262684,5.993,Village Road,AP_INST_Andhra_University,Visakhapatnam
Ram Nagar Cross Roads,17.667692,83.249808,8.229,Highway,AP_INST_Andhra_University,Visakhapatnam
Siripuram Terminus,17.660268,83.199021,12.892,Main Road,AP_INST_Andhra_University,Visakhapatnam
Murali Nagar Bus Stand,17.615621,83.197891,16.213,Highway,AP_INST_Andhra_University,Visakhapatnam
Steel Plant Bank Colony,17.593846,83.139751,22.351,Village Road,AP_INST_Andhra_University,Visakhapatnam
Vizag Port Depot,17.537107,83.158784,25.609,Main Road,AP_INST_Andhra_University,Visakhapatnam
Maddilapalem Bypass,17.723894,83.29095,1.1,Highway,AP_INST_Andhra_University,Visakhapatnam
Waltair Ring Road,17.721771,83.274452,2.848,Highway,AP_INST_Andhra_University,Visakhapatnam
Maharani Peta New Town,17.713409,83.260596,4.444,Main Road,AP_INST_Andhra_University,Visakhapatnam
Dabagardens Temple Road,17.712981,83.24479,6.09,Village Road,AP_INST_Andhra_University,Visakhapatnam
Jagadamba Junction New Town 58,17.712882,83.22213,8.462,Highway,AP_INST_Andhra_University,Visakhapatnam
Seethammadhara Circle,17.734083,83.200716,10.723,Highway,AP_INST_Andhra_University,Visakhapatnam
Asilmetta Center,17.729951,83.133258,17.815,Highway,AP_INST_Andhra_University,Visakhapatnam
Gopalapatnam School Road,17.682861,83.079665,23.9,Highway,AP_INST_Andhra_University,Visakhapatnam
Tatichetlapalem Colony,17.686892,83.063522,25.507,Highway,AP_INST_Andhra_University,Visakhapatnam
Pendurthi Gate,17.731234,83.29564,1.085,Main Road,AP_INST_Andhra_University,Visakhapatnam
Bhpv Colony Cross Roads,17.733843,83.284586,2.136,Highway,AP_INST_Andhra_University,Visakhapatnam
Ukkunagaram Bank Colony,17.750176,83.276177,4.018,Highway,AP_INST_Andhra_University,Visakhapatnam
Marripalem Depot,17.755486,83.266856,5.126,Village Road,AP_INST_Andhra_University,Visakhapatnam
Gajuwaka Market,17.829174,83.352087,1.044,Highway,AP_INST_ANITS,Visakhapatnam
NAD Junction Main Road,17.839652,83.353635,2.219,Highway,AP_INST_ANITS,Visakhapatnam
Kommadi Cross Roads,17.857083,83.353861,4.144,Highway,AP_INST_ANITS,Visakhapatnam
Bheemunipatnam Square,17.876682,83.335088,6.497,Village Road,AP_INST_ANITS,Visakhapatnam
Rushikonda Bridge 4,17.900562,83.371995,9.256,Highway,AP_INST_ANITS,Visakhapatnam
Beach Road Circle 5,17.926967,83.322636,12.242,Highway,AP_INST_ANITS,Visakhapatnam
Lawsons Bay Bypass,17.972706,83.391303,17.534,Highway,AP_INST_ANITS,Visakhapatnam
MVP Colony Old Town,17.997605,83.303916,20.342,Main Road,AP_INST_ANITS,Visakhapatnam
Dwaraka Nagar Old Town,18.051684,83.294196,26.43,Village Road,AP_INST_ANITS,Visakhapatnam
Ram Nagar New Town,17.826414,83.355176,0.899,Village Road,AP_INST_ANITS,Visakhapatnam
Siripuram Colony 10,17.838963,83.367175,2.784,Main Road,AP_INST_ANITS,Visakhapatnam
Murali Nagar Cross Roads,17.847013,83.378451,4.253,Main Road,AP_INST_ANITS,Visakhapatnam
Steel Plant Colony,17.845216,83.395591,5.581,Highway,AP_INST_ANITS,Visakhapatnam
Vizag Port Terminus,17.865077,83.399671,7.264,Highway,AP_INST_ANITS,Visakhapatnam
Maddilapalem Temple Road,17.899574,83.424887,11.879,Main Road,AP_INST_ANITS,Visakhapatnam
Waltair Temple Road,17.890359,83.470607,14.972,Main Road,AP_INST_ANITS,Visakhapatnam
Maharani Peta Bus Stand,17.943696,83.546337,24.917,Main Road,AP_INST_ANITS,Visakhapatnam
Dabagardens Market,17.989136,83.507785,25.148,Main Road,AP_INST_ANITS,Visakhapatnam
Jagadamba Junction Bus Stand,17.821551,83.358221,0.887,Village Road,AP_INST_ANITS,Visakhapatnam
Seethammadhara School Road,17.822455,83.370225,2.158,Highway,AP_INST_ANITS,Visakhapatnam
Asilmetta Center 20,17.822109,83.384601,3.67,Main Road,AP_INST_ANITS,Visakhapatnam
Gopalapatnam Temple Road,17.807284,83.406378,6.134,Main Road,AP_INST_ANITS,Visakhapatnam
Tatichetlapalem Bypass,17.817521,83.429637,8.435,Village Road,AP_INST_ANITS,Visakhapatnam
Pendurthi Center,17.819457,83.47288,13.008,Main Road,AP_INST_ANITS,Visakhapatnam
Bhpv Colony Circle,17.830966,83.520056,18.043,Highway,AP_INST_ANITS,Visakhapatnam
Ukkunagaram Circle,17.862881,83.574064,24.191,Main Road,AP_INST_ANITS,Visakhapatnam
Marripalem Market,17.774042,83.570786,23.928,Main Road,AP_INST_ANITS,Visakhapatnam
Bheemili Old Town,17.813433,83.355431,0.929,Highway,AP_INST_ANITS,Visakhapatnam
Anakapalli Bridge,17.807726,83.370738,2.585,Highway,AP_INST_ANITS,Visakhapatnam
Yelamanchili Terminus,17.801017,83.376034,3.472,Main Road,AP_INST_ANITS,Visakhapatnam
Narsipatnam Market,17.780481,83.381838,5.538,Main Road,AP_INST_ANITS,Visakhapatnam
Paderu Bridge,17.771098,83.400098,7.596,Main Road,AP_INST_ANITS,Visakhapatnam
Araku Depot,17.738844,83.400392,10.484,Highway,AP_INST_ANITS,Visakhapatnam
Chodavaram Center,17.726135,83.477481,17.063,Village Road,AP_INST_ANITS,Visakhapatnam
Tuni New Town,17.632459,83.466071,24.208,Main Road,AP_INST_ANITS,Visakhapatnam
Prabhavathi Hills Bypass,17.617667,83.517418,28.647,Highway,AP_INST_ANITS,Visakhapatnam
Simhachalam Bypass,17.810424,83.351162,1.072,Village Road,AP_INST_ANITS,Visakhapatnam
Kailasagiri Cross Roads,17.797573,83.344121,2.57,Village Road,AP_INST_ANITS,Visakhapatnam
Bheemunipatanam Chowk,17.782059,83.357343,4.29,Highway,AP_INST_ANITS,Visakhapatnam
Rambilli Layout,17.770848,83.3404,5.559,Highway,AP_INST_ANITS,Visakhapatnam
Gajuwaka Bus Stand,17.736149,83.334739,9.463,Highway,AP_INST_ANITS,Visakhapatnam
NAD Junction Hospital Road,17.722894,83.366756,10.942,Highway,AP_INST_ANITS,Visakhapatnam
Kommadi Mandal Office,17.697816,83.368077,13.72,Main Road,AP_INST_ANITS,Visakhapatnam
Bheemunipatnam Depot,17.647356,83.376344,19.399,Main Road,AP_INST_ANITS,Visakhapatnam
Rushikonda Terminus,17.593667,83.301549,25.685,Village Road,AP_INST_ANITS,Visakhapatnam
Beach Road Junction,17.815089,83.342836,0.935,Main Road,AP_INST_ANITS,Visakhapatnam
Lawsons Bay Chowk,17.80645,83.326939,2.869,Main Road,AP_INST_ANITS,Visakhapatnam
MVP Colony Main Road,17.798747,83.323531,3.666,Highway,AP_INST_ANITS,Visakhapatnam
Dwaraka Nagar Bypass,17.77659,83.306359,6.682,Village Road,AP_INST_ANITS,Visakhapatnam
Ram Nagar Nagar,17.772525,83.302653,7.28,Main Road,AP_INST_ANITS,Visakhapatnam
Siripuram Flyover,17.729561,83.288769,11.965,Main Road,AP_INST_ANITS,Visakhapatnam
Murali Nagar Flyover,17.724125,83.269657,13.639,Main Road,AP_INST_ANITS,Visakhapatnam
Steel Plant Bypass,17.706012,83.180921,21.937,Main Road,AP_INST_ANITS,Visakhapatnam
Vizag Port Station,17.647539,83.17791,26.456,Village Road,AP_INST_ANITS,Visakhapatnam
Maddilapalem Hospital Road,17.821189,83.341233,0.937,Highway,AP_INST_ANITS,Visakhapatnam
Waltair Nagar,17.814724,83.325333,2.676,Main Road,AP_INST_ANITS,Visakhapatnam
Maharani Peta Cross Roads,17.820783,83.307724,4.476,Village Road,AP_INST_ANITS,Visakhapatnam
Dabagardens Main Road 57,17.824758,83.289538,6.422,Highway,AP_INST_ANITS,Visakhapatnam
Jagadamba Junction Flyover,17.838682,83.269734,8.747,Highway,AP_INST_ANITS,Visakhapatnam
Seethammadhara New Town,17.792238,83.237187,12.336,Main Road,AP_INST_ANITS,Visakhapatnam
Asilmetta Nagar,17.82689,83.214106,14.406,Highway,AP_INST_ANITS,Visakhapatnam
Gopalapatnam Hospital Road,17.847522,83.11631,24.925,Main Road,AP_INST_ANITS,Visakhapatnam
Tatichetlapalem Colony 62,17.848912,83.094934,27.19,Village Road,AP_INST_ANITS,Visakhapatnam
Pendurthi Hospital Road,17.825528,83.342517,1.003,Main Road,AP_INST_ANITS,Visakhapatnam
Bhpv Colony Cross Roads 64,17.836446,83.334436,2.461,Highway,AP_INST_ANITS,Visakhapatnam
Ukkunagaram Layout,17.8425,83.321525,3.917,Main Road,AP_INST_ANITS,Visakhapatnam
Marripalem Bus Stand,17.870433,83.315114,6.714,Village Road,AP_INST_ANITS,Visakhapatnam
Alipiri Ring Road,13.638433,79.417719,1.083,Main Road,AP_INST_SV_University,Tirupati
Renigunta Layout,13.650603,79.421924,2.442,Main Road,AP_INST_SV_University,Tirupati
Tiruchanur Layout,13.665483,79.418885,4.079,Main Road,AP_INST_SV_University,Tirupati
Srinivasa Mangapuram Bus Stand,13.681632,79.420052,5.875,Main Road,AP_INST_SV_University,Tirupati
Srikalahasti New Town,13.707074,79.417808,8.705,Highway,AP_INST_SV_University,Tirupati
Puttur Temple Road,13.721782,79.418615,10.339,Highway,AP_INST_SV_University,Tirupati
Nagari Colony,13.758687,79.431138,14.5,Highway,AP_INST_SV_University,Tirupati
Gudur Bypass,13.83369,79.385336,23.075,Main Road,AP_INST_SV_University,Tirupati
Nellore Highway Market,13.846712,79.380913,24.581,Highway,AP_INST_SV_University,Tirupati
Chittoor Road Center,13.635073,79.427137,1.106,Main Road,AP_INST_SV_University,Tirupati
Tirupati Old Town Bus Stand,13.650336,79.432138,2.773,Main Road,AP_INST_SV_University,Tirupati
Kapila Theertham Bypass,13.658095,79.445895,4.351,Main Road,AP_INST_SV_University,Tirupati
Brahmagiristhan Circle,13.676582,79.45724,6.717,Highway,AP_INST_SV_University,Tirupati
Chandragiri Layout,13.679902,79.479005,8.605,Main Road,AP_INST_SV_University,Tirupati
Pakala Main Road,13.68336,79.496098,10.288,Highway,AP_INST_SV_University,Tirupati
Madanapalle Bypass,13.709568,79.54701,16.473,Highway,AP_INST_SV_University,Tirupati
Palamaner Ring Road,13.788093,79.529187,21.329,Main Road,AP_INST_SV_University,Tirupati
Kuppam Temple Road,13.793166,79.604628,27.116,Highway,AP_INST_SV_University,Tirupati
Bangarupalem New Town,13.629681,79.428517,1.012,Main Road,AP_INST_SV_University,Tirupati
Yerpedu Gate,13.628172,79.44275,2.546,Village Road,AP_INST_SV_University,Tirupati
Penumur Chowk,13.635131,79.450865,3.493,Highway,AP_INST_SV_University,Tirupati
Vijayapuram Flyover,13.639351,79.481067,6.788,Highway,AP_INST_SV_University,Tirupati
Kalikiri Circle,13.623572,79.488465,7.508,Main Road,AP_INST_SV_University,Tirupati
Pileru Old Town,13.610821,79.51553,10.6,Highway,AP_INST_SV_University,Tirupati
Alipiri Temple Road,13.64438,79.55948,15.257,Highway,AP_INST_SV_University,Tirupati
Renigunta Main Road,13.660273,79.620901,22.074,Main Road,AP_INST_SV_University,Tirupati
Tiruchanur Bridge,13.654338,79.696355,30.083,Main Road,AP_INST_SV_University,Tirupati
Srinivasa Mangapuram Depot,13.622006,79.426589,1.099,Village Road,AP_INST_SV_University,Tirupati
Srikalahasti Depot,13.61311,79.43799,2.677,Village Road,AP_INST_SV_University,Tirupati
Puttur Cross Roads,13.6063,79.442235,3.529,Main Road,AP_INST_SV_University,Tirupati
Nagari Bridge,13.589975,79.456341,5.895,Main Road,AP_INST_SV_University,Tirupati
Gudur Chowk,13.563694,79.469223,9.035,Highway,AP_INST_SV_University,Tirupati
Nellore Highway Market 32,13.554464,79.490043,11.267,Highway,AP_INST_SV_University,Tirupati
Chittoor Road Junction,13.530743,79.516137,15.122,Main Road,AP_INST_SV_University,Tirupati
Tirupati Old Town Center,13.474771,79.591153,25.276,Village Road,AP_INST_SV_University,Tirupati
Kapila Theertham Market,13.398921,79.556451,29.556,Highway,AP_INST_SV_University,Tirupati
Brahmagiristhan Hospital Road,13.619612,79.41899,1.022,Village Road,AP_INST_SV_University,Tirupati
Chandragiri Gate,13.605549,79.425553,2.675,Main Road,AP_INST_SV_University,Tirupati
Pakala Depot,13.597054,79.42737,3.639,Highway,AP_INST_SV_University,Tirupati
Madanapalle Terminus,13.574607,79.429963,6.137,Highway,AP_INST_SV_University,Tirupati
Palamaner Terminus,13.55396,79.42799,8.376,Main Road,AP_INST_SV_University,Tirupati
Kuppam Main Road,13.522677,79.416562,11.804,Main Road,AP_INST_SV_University,Tirupati
Bangarupalem Circle,13.508755,79.44866,13.723,Main Road,AP_INST_SV_University,Tirupati
Yerpedu Hospital Road,13.411454,79.404486,24.22,Village Road,AP_INST_SV_University,Tirupati
Penumur Bypass,13.397442,79.425096,25.734,Highway,AP_INST_SV_University,Tirupati
Vijayapuram Market,13.624105,79.412545,0.889,Highway,AP_INST_SV_University,Tirupati
Kalikiri Station,13.608937,79.404963,2.692,Highway,AP_INST_SV_University,Tirupati
Pileru Terminus,13.597482,79.3943,4.401,Main Road,AP_INST_SV_University,Tirupati
Alipiri Chowk,13.599716,79.379693,5.356,Highway,AP_INST_SV_University,Tirupati
Renigunta Cross Roads,13.587707,79.365604,7.378,Main Road,AP_INST_SV_University,Tirupati
Tiruchanur Chowk,13.54334,79.34079,12.733,Main Road,AP_INST_SV_University,Tirupati
Srinivasa Mangapuram Ring Road,13.517522,79.30332,17.607,Village Road,AP_INST_SV_University,Tirupati
Srikalahasti Flyover,13.481787,79.268429,23.084,Village Road,AP_INST_SV_University,Tirupati
Puttur Nagar,13.447959,79.204416,30.716,Highway,AP_INST_SV_University,Tirupati
Nagari New Town,13.627323,79.410713,0.932,Highway,AP_INST_SV_University,Tirupati
Gudur Chowk 55,13.626345,79.394022,2.735,Village Road,AP_INST_SV_University,Tirupati
Nellore Highway Hospital Road,13.623334,79.386931,3.54,Highway,AP_INST_SV_University,Tirupati
Chittoor Road Bus Stop,13.616463,79.356668,6.895,Main Road,AP_INST_SV_University,Tirupati
Tirupati Old Town Depot,13.648097,79.342199,8.593,Village Road,AP_INST_SV_University,Tirupati
Kapila Theertham Square,13.620382,79.317272,11.055,Highway,AP_INST_SV_University,Tirupati
Brahmagiristhan Circle 60,13.64242,79.291979,13.831,Main Road,AP_INST_SV_University,Tirupati
Chandragiri Market,13.614449,79.204558,23.251,Village Road,AP_INST_SV_University,Tirupati
Pakala Terminus,13.616268,79.13969,30.238,Village Road,AP_INST_SV_University,Tirupati
Madanapalle Center,13.635213,79.414406,0.881,Village Road,AP_INST_SV_University,Tirupati
Palamaner Hospital Road,13.645851,79.40316,2.569,Main Road,AP_INST_SV_University,Tirupati
Kuppam Bus Stand,13.655438,79.397525,3.776,Highway,AP_INST_SV_University,Tirupati
Bangarupalem Square,13.669191,79.387353,5.658,Main Road,AP_INST_SV_University,Tirupati
Alipiri School Road,13.562958,79.175353,1.136,Village Road,AP_INST_IIT_Tirupati,Tirupati
Renigunta Gate,13.57233,79.174747,2.165,Highway,AP_INST_IIT_Tirupati,Tirupati
Tiruchanur Mandal Office,13.58541,79.166007,3.705,Main Road,AP_INST_IIT_Tirupati,Tirupati
Srinivasa Mangapuram Old Town,13.600779,79.167714,5.361,Highway,AP_INST_IIT_Tirupati,Tirupati
Srikalahasti Main Road,13.627105,79.181599,8.298,Main Road,AP_INST_IIT_Tirupati,Tirupati
Puttur Square,13.645175,79.167244,10.283,Main Road,AP_INST_IIT_Tirupati,Tirupati
Nagari Temple Road,13.699358,79.147737,16.522,Main Road,AP_INST_IIT_Tirupati,Tirupati
Gudur Market,13.769119,79.203197,24.256,Highway,AP_INST_IIT_Tirupati,Tirupati
Nellore Highway Mandal Office,13.812563,79.119687,29.453,Main Road,AP_INST_IIT_Tirupati,Tirupati
Chittoor Road Hospital Road,13.557424,79.181365,0.988,Main Road,AP_INST_IIT_Tirupati,Tirupati
Tirupati Old Town Flyover,13.566207,79.194605,2.719,Main Road,AP_INST_IIT_Tirupati,Tirupati
Kapila Theertham Bridge,13.587519,79.195431,4.521,Main Road,AP_INST_IIT_Tirupati,Tirupati
Brahmagiristhan Depot,13.583573,79.22746,6.757,Main Road,AP_INST_IIT_Tirupati,Tirupati
Chandragiri Colony,13.61494,79.222567,8.701,Main Road,AP_INST_IIT_Tirupati,Tirupati
Pakala Ring Road,13.65506,79.234545,13.137,Main Road,AP_INST_IIT_Tirupati,Tirupati
Madanapalle Bus Stand,13.629997,79.281758,14.505,Highway,AP_INST_IIT_Tirupati,Tirupati
Palamaner Station,13.700756,79.330174,23.6,Highway,AP_INST_IIT_Tirupati,Tirupati
Kuppam Layout,13.718436,79.359815,27.279,Village Road,AP_INST_IIT_Tirupati,Tirupati
Bangarupalem Nagar,13.55268,79.184064,1.142,Main Road,AP_INST_IIT_Tirupati,Tirupati
Yerpedu Depot,13.554596,79.196187,2.46,Main Road,AP_INST_IIT_Tirupati,Tirupati
Penumur Bus Stop,13.561725,79.211485,4.222,Main Road,AP_INST_IIT_Tirupati,Tirupati
Vijayapuram Bus Stand,13.547787,79.231258,6.269,Highway,AP_INST_IIT_Tirupati,Tirupati
Kalikiri Flyover,13.565548,79.258261,9.27,Highway,AP_INST_IIT_Tirupati,Tirupati
Pileru Main Road,13.531568,79.294693,13.314,Main Road,AP_INST_IIT_Tirupati,Tirupati
Alipiri Bank Colony,13.570137,79.317623,15.696,Main Road,AP_INST_IIT_Tirupati,Tirupati
Renigunta Hospital Road,13.50617,79.396398,24.651,Highway,AP_INST_IIT_Tirupati,Tirupati
Tiruchanur Terminus,13.526203,79.410349,25.776,Main Road,AP_INST_IIT_Tirupati,Tirupati
Srinivasa Mangapuram Bus Stand 27,13.546619,79.180422,1.024,Main Road,AP_INST_IIT_Tirupati,Tirupati
Srikalahasti Circle,13.536613,79.184174,2.147,Main Road,AP_INST_IIT_Tirupati,Tirupati
Puttur Ring Road,13.525165,79.194606,3.836,Village Road,AP_INST_IIT_Tirupati,Tirupati
Nagari Nagar,13.51594,79.214519,6.046,Highway,AP_INST_IIT_Tirupati,Tirupati
Gudur Junction,13.492399,79.235956,9.532,Main Road,AP_INST_IIT_Tirupati,Tirupati
Nellore Highway Station,13.451579,79.246293,13.743,Main Road,AP_INST_IIT_Tirupati,Tirupati
Chittoor Road Layout,13.464829,79.267308,14.099,Main Road,AP_INST_IIT_Tirupati,Tirupati
Tirupati Old Town Gate,13.444113,79.328909,20.705,Main Road,AP_INST_IIT_Tirupati,Tirupati
Kapila Theertham Bridge 35,13.394433,79.391652,29.444,Main Road,AP_INST_IIT_Tirupati,Tirupati
Brahmagiristhan Bridge,13.543421,79.173635,1.054,Highway,AP_INST_IIT_Tirupati,Tirupati
Chandragiri Bus Stand,13.532236,79.171597,2.307,Main Road,AP_INST_IIT_Tirupati,Tirupati
Pakala New Town,13.52117,79.169246,3.558,Highway,AP_INST_IIT_Tirupati,Tirupati
Madanapalle Chowk,13.506434,79.170742,5.175,Highway,AP_INST_IIT_Tirupati,Tirupati
Palamaner New Town,13.46558,79.16887,9.722,Highway,AP_INST_IIT_Tirupati,Tirupati
Kuppam Flyover,13.458732,79.165621,10.506,Highway,AP_INST_IIT_Tirupati,Tirupati
Bangarupalem Bank Colony,13.419118,79.169731,14.881,Highway,AP_INST_IIT_Tirupati,Tirupati
Yerpedu Hospital Road 43,13.330607,79.14788,24.873,Main Road,AP_INST_IIT_Tirupati,Tirupati
Penumur Center,13.269444,79.162937,31.54,Village Road,AP_INST_IIT_Tirupati,Tirupati
Vijayapuram Square,13.545899,79.167947,0.983,Highway,AP_INST_IIT_Tirupati,Tirupati
Kalikiri Nagar,13.532488,79.158853,2.767,Highway,AP_INST_IIT_Tirupati,Tirupati
Pileru Center,13.529116,79.146165,3.966,Main Road,AP_INST_IIT_Tirupati,Tirupati
Alipiri Square,13.50801,79.14592,5.814,Highway,AP_INST_IIT_Tirupati,Tirupati
Renigunta Layout 49,13.508881,79.121631,7.443,Village Road,AP_INST_IIT_Tirupati,Tirupati
Tiruchanur Colony,13.471788,79.111459,11.24,Main Road,AP_INST_IIT_Tirupati,Tirupati
Srinivasa Mangapuram Market,13.453572,79.062696,16.295,Main Road,AP_INST_IIT_Tirupati,Tirupati
Srikalahasti Station,13.432658,78.994433,23.53,Village Road,AP_INST_IIT_Tirupati,Tirupati
Puttur Flyover,13.390971,78.991354,26.686,Main Road,AP_INST_IIT_Tirupati,Tirupati
Nagari Junction,13.555172,79.163894,1.069,Highway,AP_INST_IIT_Tirupati,Tirupati
Gudur Square,13.558068,79.153066,2.282,Village Road,AP_INST_IIT_Tirupati,Tirupati
Nellore Highway Bank Colony,13.545682,79.135621,4.173,Main Road,AP_INST_IIT_Tirupati,Tirupati
Chittoor Road Station,13.560088,79.112426,6.65,Main Road,AP_INST_IIT_Tirupati,Tirupati
Tirupati Old Town Colony,13.537529,79.106247,7.468,Main Road,AP_INST_IIT_Tirupati,Tirupati
Kapila Theertham Chowk,13.568167,79.061306,12.246,Village Road,AP_INST_IIT_Tirupati,Tirupati
Brahmagiristhan Terminus,13.586053,79.031994,15.734,Highway,AP_INST_IIT_Tirupati,Tirupati
Chandragiri Bridge,13.552507,78.971873,21.796,Main Road,AP_INST_IIT_Tirupati,Tirupati
Pakala Market,13.578295,78.935385,25.893,Main Road,AP_INST_IIT_Tirupati,Tirupati
Madanapalle Layout,13.55781,79.165367,1.035,Highway,AP_INST_IIT_Tirupati,Tirupati
